iso3,year,imports_from_vn_usd,vn_reported_exports_usd
CIV,2005,94653186.0,81130893.0
CIV,2006,68310700.0,54972962.0
CIV,2007,49625249.0,44305517.0
CIV,2008,81725835.61,85181602.0
CIV,2009,145858819.96,144301942.0
CIV,2010,106035160.42,134336821.0
CIV,2011,199299898.12,146524509.0
CIV,2012,223668029.12,214902752.0
CIV,2013,173433641.16,247138371.0
CIV,2014,165608846.09,159967987.0
CIV,2015,157811144.62,137825615.0
CIV,2016,130353799.91,120941799.35
CIV,2017,137247764.72,126168468.7
CIV,2018,181460289.55,182446858.43
CIV,2019,282855048.07,272995751.86
CIV,2020,306022929.59,266910265.06
CIV,2021,294933883.75,266201735.26
CMR,2002,264676.0,200522.0
CMR,2003,4803109.0,497426.0
CMR,2004,10638412.0,5737691.0
CMR,2005,42389746.0,7508731.0
CMR,2006,24626471.0,12011147.0
CMR,2007,22791986.0,8377752.0
CMR,2008,58667478.0,34456789.0
CMR,2009,66784220.0,32452064.0
CMR,2010,44222877.0,33658285.0
CMR,2011,116459617.0,78150378.0
CMR,2012,62879357.0,61962548.0
CMR,2013,134478156.0,101398596.0
CMR,2014,48871968.0,41186140.0
CMR,2015,38151903.0,38570973.0
CMR,2016,19780843.0,21305623.55
CMR,2017,22788288.85,21651122.3
CMR,2018,13146455.68,26723871.53
CMR,2019,31994372.8,43646258.98
CMR,2020,19343331.69,24670633.66
CMR,2021,14592552.24,16943301.98
COD,2002,0,58165.0
COD,2003,0,81858.0
COD,2004,0,7109564.0
COD,2005,0,673323.0
COD,2006,0,1749980.0
COD,2008,0,4594975.0
COD,2009,0,13190000.0
COD,2010,0,4461608.0
COD,2013,0,17975982.0
COD,2014,0,27019304.0
COD,2015,12363139.77,13607614.0
COD,2016,5763321.14,8323034.74
COD,2017,5399153.22,15438166.9
COD,2018,7948953.04,0
COD,2019,11810234.9,0
COD,2020,12472108.74,0
COD,2021,14469238.73,0
COG,2002,0,766788.0
COG,2003,0,2854776.0
COG,2004,0,4092891.0
COG,2005,0,16865861.0
COG,2006,0,23165929.0
COG,2007,1208508.0,23668657.0
COG,2008,122019.0,32793276.0
COG,2009,8493315.0,30225151.0
COG,2010,8118009.0,34493006.0
COG,2011,29777018.0,45649692.0
COG,2012,3799433.0,17144084.0
COG,2013,6894648.0,20223212.0
COG,2014,9331472.63,4304920.0
COG,2015,4754023.88,4403553.0
COG,2016,11908712.59,1689387.89
COG,2017,1299179.56,1547873.9
COG,2018,3481575.74,5777499.64
COG,2019,4836121.68,19527339.81
COG,2020,3467861.36,5086624.34
COG,2021,2915797.39,3200158.57
COL,2002,4856604.0,7147054.0
COL,2003,5055365.0,3366950.0
COL,2004,6901650.0,8232740.0
COL,2005,12146379.0,10505055.0
COL,2006,26318324.0,23063690.0
COL,2007,42491076.0,34405919.0
COL,2008,65883813.0,47092832.0
COL,2009,61464211.0,46201490.0
COL,2010,94057702.0,71884056.0
COL,2011,169782548.0,99775166.0
