iso3,name,income_group,region,comtrade_years,tariff_years,vn_trade_years,vn_mirror_years,vn_imports_latest_year,vn_imports_latest_usd,vn_imports_mean_usd,avg_records_per_year,tier,reason
TLS,Timor-Leste,Lower middle income,East Asia & Pacific,8,0,8,15,2021,25293221,23548774,29320,C,"thin: only 8 Comtrade years, only 0 tariff years, only 8 years trading with VN"
IRQ,Iraq,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",8,0,2,14,2021,8192321,19454764,4487,C,"thin: only 8 Comtrade years, only 0 tariff years, only 2 years trading with VN"
SDN,Sudan,Low income,Sub-Saharan Africa ,17,10,7,6,2018,13911478,17073196,102934,C,thin: only 7 years trading with VN
SYR,Syrian Arab Republic,Low income,"Middle East, North Africa, Afghanistan & Pakistan",9,5,8,16,2010,19088974,15265752,48749,C,"thin: only 9 Comtrade years, only 5 tariff years, only 8 years trading with VN"
NCL,New Caledonia,High income,East Asia & Pacific,14,0,14,14,2015,26661302,12157299,65580,C,"thin: only 14 Comtrade years, only 0 tariff years"
MNE,Montenegro,Upper middle income,Europe & Central Asia,16,0,16,1,2021,24853775,12103791,541228,C,thin: only 0 tariff years
YEM,"Yemen, Rep.",Low income,"Middle East, North Africa, Afghanistan & Pakistan",14,8,14,16,2019,7740229,11594611,45446,C,"thin: only 14 Comtrade years, only 8 tariff years"
GIN,Guinea,Lower middle income,Sub-Saharan Africa ,10,11,10,16,2016,4863760,10655467,27230,C,thin: only 10 Comtrade years
COD,"Congo, Dem. Rep.",Low income,Sub-Saharan Africa ,7,0,7,13,2021,14469239,10032307,468326,C,"thin: only 7 Comtrade years, only 0 tariff years, only 7 years trading with VN"
PSE,West Bank and Gaza,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",15,5,15,0,2021,15929214,7932203,38730,C,thin: only 5 tariff years
SLE,Sierra Leone,Low income,Sub-Saharan Africa ,6,7,6,16,2018,9955105,5519122,49338,C,"thin: only 6 Comtrade years, only 7 tariff years, only 6 years trading with VN"
AND,Andorra,High income,Europe & Central Asia,20,0,19,7,2021,6475798,5084425,33065,C,thin: only 0 tariff years
TJK,Tajikistan,Lower middle income,Europe & Central Asia,8,11,8,8,2021,4180154,2718162,35685,C,"thin: only 8 Comtrade years, only 8 years trading with VN"
LBR,Liberia,Low income,Sub-Saharan Africa ,5,6,5,16,2021,4619030,2556422,34797,C,"thin: only 5 Comtrade years, only 6 tariff years, only 5 years trading with VN"
LBY,Libya,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",8,4,4,15,2010,4241059,1921440,36848,C,"thin: only 8 Comtrade years, only 4 tariff years, only 4 years trading with VN"
